power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.03 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.13 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.22 W, 7 MiB, 0 %, 0 %
45.50 W, 7281 MiB, 4 %, 0 %
64.32 W, 7281 MiB, 4 %, 0 %
67.68 W, 7281 MiB, 87 %, 5 %
68.06 W, 7281 MiB, 87 %, 5 %
67.97 W, 7281 MiB, 88 %, 5 %
68.26 W, 7281 MiB, 92 %, 5 %
68.26 W, 7281 MiB, 92 %, 5 %
68.35 W, 7281 MiB, 100 %, 5 %
68.45 W, 7281 MiB, 100 %, 5 %
74.49 W, 7281 MiB, 100 %, 5 %
101.44 W, 7281 MiB, 100 %, 5 %
106.22 W, 7281 MiB, 100 %, 18 %
106.89 W, 7281 MiB, 100 %, 23 %
107.09 W, 7281 MiB, 100 %, 23 %
107.08 W, 7281 MiB, 100 %, 23 %
107.08 W, 7281 MiB, 100 %, 23 %
107.06 W, 7281 MiB, 100 %, 23 %
107.18 W, 7281 MiB, 100 %, 22 %
107.15 W, 7281 MiB, 100 %, 22 %
107.15 W, 7281 MiB, 100 %, 22 %
107.25 W, 7281 MiB, 100 %, 22 %
107.15 W, 7281 MiB, 100 %, 21 %
107.25 W, 7281 MiB, 100 %, 20 %
107.28 W, 7281 MiB, 100 %, 20 %
107.28 W, 7281 MiB, 100 %, 20 %
107.28 W, 7281 MiB, 100 %, 20 %
107.25 W, 7281 MiB, 100 %, 20 %
107.08 W, 7281 MiB, 100 %, 20 %
107.08 W, 7281 MiB, 100 %, 20 %
107.18 W, 7281 MiB, 100 %, 19 %
107.18 W, 7281 MiB, 100 %, 19 %
107.15 W, 7281 MiB, 100 %, 19 %
107.25 W, 7281 MiB, 100 %, 19 %
107.15 W, 7281 MiB, 100 %, 19 %
107.15 W, 7281 MiB, 100 %, 19 %
107.28 W, 7281 MiB, 100 %, 19 %
107.35 W, 7281 MiB, 100 %, 18 %
107.28 W, 7281 MiB, 100 %, 18 %
107.47 W, 7281 MiB, 100 %, 18 %
107.18 W, 7281 MiB, 100 %, 18 %
107.29 W, 7281 MiB, 100 %, 18 %
107.28 W, 7281 MiB, 100 %, 18 %
107.28 W, 7281 MiB, 100 %, 18 %
107.28 W, 7281 MiB, 100 %, 18 %
107.25 W, 7281 MiB, 100 %, 18 %
107.28 W, 7281 MiB, 100 %, 17 %
107.25 W, 7281 MiB, 100 %, 17 %
107.29 W, 7281 MiB, 100 %, 17 %
107.28 W, 7281 MiB, 100 %, 17 %
107.28 W, 7281 MiB, 100 %, 17 %
107.28 W, 7281 MiB, 100 %, 17 %
107.37 W, 7281 MiB, 100 %, 17 %
107.37 W, 7281 MiB, 100 %, 17 %
107.06 W, 7281 MiB, 100 %, 17 %
6.941905498504639
