power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.13 W, 6 MiB, 0 %, 0 %
21.48 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.22 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.32 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.84 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
20.12 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.93 W, 17 MiB, 0 %, 0 %
19.84 W, 17 MiB, 0 %, 0 %
20.03 W, 17 MiB, 0 %, 0 %
20.41 W, 19 MiB, 0 %, 0 %
53.59 W, 361 MiB, 0 %, 0 %
106.46 W, 394 MiB, 33 %, 6 %
70.28 W, 394 MiB, 33 %, 6 %
62.61 W, 394 MiB, 48 %, 24 %
61.36 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
61.07 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
61.17 W, 394 MiB, 0 %, 0 %
63.66 W, 6 MiB, 19 %, 1 %
10.139572143554688
